FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,UTILIIZA_PRICE,UTILIIZA_CHRGE_PD,OFFM_TY,ACMD_NMPR_CO,MON_OPER_TIME,TUES_OPER_TIME,WED_OPER_TIME,THUR_OPER_TIME,FRI_OPER_TIME,SAT_OPER_TIME,SUN_OPER_TIME,AC_HOLD_AT,CAFE_HOLD_AT,PRINTER_HOLD_AT,PARCEL_SNDNG_POSBL_AT,DOORLOCK_AT,ELECT_OUTLET_AT,FAX_AT,N24H_OPER_AT,N365D_OPER_AT,HEATER_HOLD_AT,PARKNG_POSBL_AT,CMNUSE_LOUNGE_AT,CMNUSE_KITCHEN_AT,WPU_HOLD_AT,ROOFTOP_HOLD_AT,REFRESHMENTS_PROVD_AT,INDVDL_LOCKER_AT,TV_HOLD_AT,WBOARD_HOLD_AT,WIFI_HOLD_AT,BATH_FCLTY_HOLD_AT,WRHS_HOLD_AT,LAST_UPDT_DE
[5인실]선릉 공유오피스 더공간A,서울특별시,강남구,대치동,,890-41 번지,테헤란로70길,14-10 번,37.50436547,127.0527282,06193,서울특별시 강남구 테헤란로70길 14-10,서울특별시 강남구 대치동 890-41,,월,독립오피스,5,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,20221116
[5인실]선릉 공유오피스 더공간B,서울특별시,강남구,대치동,,890-41 번지,테헤란로70길,14-10 번,37.50438925,127.0527431,06193,서울특별시 강남구 테헤란로70길 14-10,서울특별시 강남구 대치동 890-41,,월,독립오피스,5,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,20221116
[6인실]선릉 공유오피스 더공간,서울특별시,강남구,대치동,,890-41 번지,테헤란로70길,14-10 번,37.50436547,127.0527282,06193,서울특별시 강남구 테헤란로70길 14-10,서울특별시 강남구 대치동 890-41,,월,독립오피스,6,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,20221116
[7인실]선릉 공유오피스 더공간A,서울특별시,강남구,대치동,,890-41 번지,테헤란로70길,14-10 번,37.50436547,127.0527282,06193,서울특별시 강남구 테헤란로70길 14-10,서울특별시 강남구 대치동 890-41,,월,독립오피스,7,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,20221116
[7인실]선릉 공유오피스 더공간B,서울특별시,강남구,대치동,,890-41 번지,테헤란로70길,14-10 번,37.50438925,127.0527431,06193,서울특별시 강남구 테헤란로70길 14-10,서울특별시 강남구 대치동 890-41,,월,독립오피스,7,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,20221116
[맨써]주소지서비스 비상주오피스,제주특별자치도,제주시,연동,,304-26 번지,신대로,145 번,33.48430056,126.4967123,63134,제주특별자치도 제주시 신대로 145,제주특별자치도 제주시 연동 304-26,,월,독립오피스,6,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,N,20221116
[미사] 공유오피스 소호사무실,경기도,하남시,풍산동,,512 번지,미사강변대로,70 번,37.55615552,127.1874375,12919,경기도 하남시 미사강변대로 70,경기도 하남시 풍산동 512,,월,독립오피스,4,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,N,20221116
[비즈넥스트원]의정부 소호사무실,경기도,의정부시,의정부동,,491-7 번지,둔야로17번길,14 번,37.73765612,127.0389972,11649,경기도 의정부시 둔야로17번길 14,경기도 의정부시 의정부동 491-7,,월,독립오피스,3,9:00 ~ 22:00,9:00 ~ 22:00,9:00 ~ 22:00,9:00 ~ 22:00,9:00 ~ 22:00,9:00 ~ 22:00,9:00 ~ 22:00,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,N,20221116
[삼성동] 모두의캠퍼스 2-6인실,서울특별시,강남구,삼성동,,120-17 번지,삼성로103길,6 번,37.51051162,127.0540307,06155,서울특별시 강남구 삼성로103길 6,서울특별시 강남구 삼성동 120-17,,일,독립오피스,6,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,20221116
[성수]교원 창업공간 1인실 창가,서울특별시,성동구,성수2가3동,,279-6 번지,아차산로13길,30 번,37.54548392,127.0619216,04799,서울특별시 성동구 아차산로13길 30,서울특별시 성동구 성수동2가 279-6,,월,독립오피스,1,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,20221116
