FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,UTILIIZA_PRICE,UTILIIZA_CHRGE_PD,OFFM_TY,ACMD_NMPR_CO,MON_OPER_TIME,TUES_OPER_TIME,WED_OPER_TIME,THUR_OPER_TIME,FRI_OPER_TIME,SAT_OPER_TIME,SUN_OPER_TIME,AC_HOLD_AT,CAFE_HOLD_AT,PRINTER_HOLD_AT,PARCEL_SNDNG_POSBL_AT,DOORLOCK_AT,ELECT_OUTLET_AT,FAX_AT,N24H_OPER_AT,N365D_OPER_AT,HEATER_HOLD_AT,PARKNG_POSBL_AT,CMNUSE_LOUNGE_AT,CMNUSE_KITCHEN_AT,WPU_HOLD_AT,ROOFTOP_HOLD_AT,REFRESHMENTS_PROVD_AT,INDVDL_LOCKER_AT,TV_HOLD_AT,WBOARD_HOLD_AT,WIFI_HOLD_AT,BATH_FCLTY_HOLD_AT,WRHS_HOLD_AT,LAST_UPDT_DE
공유오피스 ILTER 일터 3인실,서울특별시,마포구,노고산동,,107-17 번지,백범로,8 번,37.55400394,126.9367317,04100,서울특별시 마포구 백범로 8,서울특별시 마포구 노고산동 107-17,,일,독립오피스,3,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,20221116
공유오피스 ILTER 일터 5인실,서울특별시,마포구,노고산동,,107-17 번지,백범로,8 번,37.55400394,126.9367317,04100,서울특별시 마포구 백범로 8,서울특별시 마포구 노고산동 107-17,,일,독립오피스,5,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,20221116
공유오피스 moo 목동역점 양천구,서울특별시,양천구,신정동,,996-1 번지,목동로19길,11 번,37.52485587,126.8632138,08022,서울특별시 양천구 목동로19길 11,서울특별시 양천구 신정동 996-1,,월,독립오피스,3,휴무일,휴무일,휴무일,휴무일,휴무일,휴무일,휴무일,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,20221116
공존 독립오피스,서울특별시,종로구,숭인동,,65-17 번지,지봉로,56-1 번,37.57508241,127.0158952,03113,서울특별시 종로구 지봉로 56-1,서울특별시 종로구 숭인동 65-17,,월,독립오피스,6,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,20221116
"교대 유니언워크 사무실, 스터디룸",서울특별시,서초구,서초동,,1670-15 번지,서초대로56길,18 번,37.49372846,127.0170232,06633,서울특별시 서초구 서초대로56길 18,서울특별시 서초구 서초동 1670-15,,월,독립오피스,4,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,휴무일,휴무일,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,Y,Y,N,N,Y,N,Y,Y,N,20221116
구로 1인사무실 114소호 4만원,서울특별시,금천구,가산동,,371-16 번지,가산디지털1로,137 번,37.47765869,126.8819304,08506,서울특별시 금천구 가산디지털1로 137,서울특별시 금천구 가산동 371-16,,월,독립오피스,3,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,20221116
구로공유오피스 114소호사무실 A,서울특별시,구로구,구로동,,197-28 번지,디지털로31길,41 번,37.4851718,126.8927513,08375,서울특별시 구로구 디지털로31길 41,서울특별시 구로구 구로동 197-28,,월,독립오피스,3,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,20221116
구로디지털2인실 구로소호114 B,서울특별시,구로구,구로동,,197-28 번지,디지털로31길,41 번,37.4851718,126.8927513,08375,서울특별시 구로구 디지털로31길 41,서울특별시 구로구 구로동 197-28,,월,독립오피스,2,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,N,20221116
구로디지털단지 창가2인실 구로소호,서울특별시,구로구,구로동,,197-28 번지,디지털로31길,41 번,37.4851718,126.8927513,08375,서울특별시 구로구 디지털로31길 41,서울특별시 구로구 구로동 197-28,,월,독립오피스,2,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,20221116
구로디지털단지3인실[후이즈키스톤],서울특별시,구로구,구로동,,811 번지,디지털로34길,55 번,37.48428564,126.8992821,08378,서울특별시 구로구 디지털로34길 55,서울특별시 구로구 구로동 811,,월,독립오피스,3,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,20221116
구로디지털단지4인실[후이즈키스톤],서울특별시,구로구,구로동,,811 번지,디지털로34길,55 번,37.48428564,126.8992821,08378,서울특별시 구로구 디지털로34길 55,서울특별시 구로구 구로동 811,,월,독립오피스,4,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,N,N,20221116
구로디지털단지5인실[후이즈키스톤],서울특별시,구로구,구로동,,811 번지,디지털로34길,55 번,37.48428564,126.8992821,08378,서울특별시 구로구 디지털로34길 55,서울특별시 구로구 구로동 811,,월,독립오피스,5,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,20221116
구로디지털단지6인실[후이즈키스톤],서울특별시,구로구,구로동,,811 번지,디지털로34길,55 번,37.48428564,126.8992821,08378,서울특별시 구로구 디지털로34길 55,서울특별시 구로구 구로동 811,,월,독립오피스,6,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,20221116
구로비상주사무실 114소호A,서울특별시,구로구,구로동,,197-28 번지,디지털로31길,41 번,37.4851718,126.8927513,08375,서울특별시 구로구 디지털로31길 41,서울특별시 구로구 구로동 197-28,,월,독립오피스,3,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,20221116
구로비상주사무실 독립오피스 2인실,서울특별시,구로구,구로동,,197-28 번지,디지털로31길,41 번,37.4851718,126.8927513,08375,서울특별시 구로구 디지털로31길 41,서울특별시 구로구 구로동 197-28,,월,독립오피스,2,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,20221116
구로비즈니스센터 소호114 B,서울특별시,구로구,구로동,,197-28 번지,디지털로31길,41 번,37.4851718,126.8927513,08375,서울특별시 구로구 디지털로31길 41,서울특별시 구로구 구로동 197-28,,월,독립오피스,3,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,20221116
구로사무실 넥스트데이 2인-30인,서울특별시,구로구,구로동,,197-21 번지,디지털로31길,12 번,37.48510657,126.8953634,08380,서울특별시 구로구 디지털로31길 12,서울특별시 구로구 구로동 197-21,,월,독립오피스,2,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,20221116
구로소호114 창가자리 1인실,서울특별시,구로구,구로동,,197-28 번지,디지털로31길,41 번,37.4851718,126.8927513,08375,서울특별시 구로구 디지털로31길 41,서울특별시 구로구 구로동 197-28,,월,독립오피스,1,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,20221116
구로소호114 창측자리 3인실,서울특별시,구로구,구로동,,197-28 번지,디지털로31길,41 번,37.4851718,126.8927513,08375,서울특별시 구로구 디지털로31길 41,서울특별시 구로구 구로동 197-28,,월,독립오피스,1,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N,20221116
"구로소호114, 1인실",서울특별시,구로구,구로동,,197-28 번지,디지털로31길,41 번,37.4851718,126.8927513,08375,서울특별시 구로구 디지털로31길 41,서울특별시 구로구 구로동 197-28,,월,독립오피스,1,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,20221116
"구로소호114, 2인실",서울특별시,구로구,구로동,,197-28 번지,디지털로31길,41 번,37.4851718,126.8927513,08375,서울특별시 구로구 디지털로31길 41,서울특별시 구로구 구로동 197-28,,월,독립오피스,3,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,20221116
"구로소호114, 3인실",서울특별시,구로구,구로동,,197-28 번지,디지털로31길,41 번,37.4851718,126.8927513,08375,서울특별시 구로구 디지털로31길 41,서울특별시 구로구 구로동 197-28,,월,독립오피스,1,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,20221116
"구로소호114, 독립된 1인실",서울특별시,구로구,구로동,,197-28 번지,디지털로31길,41 번,37.4851718,126.8927513,08375,서울특별시 구로구 디지털로31길 41,서울특별시 구로구 구로동 197-28,,월,독립오피스,1,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,20221116
구로소호사무실 2인실 창가,서울특별시,구로구,구로동,,197-28 번지,디지털로31길,41 번,37.4851718,126.8927513,08375,서울특별시 구로구 디지털로31길 41,서울특별시 구로구 구로동 197-28,,월,독립오피스,2,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,20221116
구로소호사무실 독립오피스 4인실,서울특별시,구로구,구로동,,197-28 번지,디지털로31길,41 번,37.4851718,126.8927513,08375,서울특별시 구로구 디지털로31길 41,서울특별시 구로구 구로동 197-28,,월,독립오피스,4,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,20221116
구월동 남인천세무서뒤편 1인사무실,인천광역시,남동구,구월동,,1542-1 번지,선수촌공원로23번길,11 번,37.44087563,126.7086512,21582,인천광역시 남동구 선수촌공원로23번길 11,인천광역시 남동구 구월동 1542-1,,월,독립오피스,1,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,Y,N,Y,N,N,20221116
그림 비즈 - 2인실 안내,서울특별시,마포구,상암동,,1602 번지,월드컵북로,400 번,37.58045107,126.8898935,03925,서울특별시 마포구 월드컵북로 400,서울특별시 마포구 상암동 1602,,일,독립오피스,2,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,20221116
그림 비즈니스센터 - 1인실 안내,서울특별시,마포구,상암동,,1602 번지,월드컵북로,400 번,37.58045107,126.8898935,03925,서울특별시 마포구 월드컵북로 400,서울특별시 마포구 상암동 1602,,일,독립오피스,1,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,20221116
김포 사업자등록주소 114소호 A,경기도,김포시,사우동,,929 번지,김포대로,847 번,37.61969658,126.7196475,10110,경기도 김포시 김포대로 847,경기도 김포시 사우동 929,,월,독립오피스,3,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,20221116
김포공유오피스 114소호 B,경기도,김포시,사우동,,929 번지,김포대로,847 번,37.61969658,126.7196475,10110,경기도 김포시 김포대로 847,경기도 김포시 사우동 929,,월,독립오피스,3,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,20221116
김포비상주사무실 114소호 C,경기도,김포시,사우동,,929 번지,김포대로,847 번,37.61969658,126.7196475,10110,경기도 김포시 김포대로 847,경기도 김포시 사우동 929,,월,독립오피스,3,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,20221116
김포소호사무실 114소호 D,경기도,김포시,사우동,,929 번지,김포대로,847 번,37.61969658,126.7196475,10110,경기도 김포시 김포대로 847,경기도 김포시 사우동 929,,월,독립오피스,3,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,20221116
낙성대 공유오피스 트그 3인 팀룸,서울특별시,관악구,봉천동,,1686-13 번지,남부순환로,1921-1 번,37.4776398,126.9629527,08801,서울특별시 관악구 남부순환로 1921-1,서울특별시 관악구 봉천동 1686-13,,월,독립오피스,3,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,20221116
낙성대 공유오피스 트그 5인 팀룸,서울특별시,관악구,봉천동,,1686-13 번지,남부순환로,1921-1 번,37.4776398,126.9629527,08801,서울특별시 관악구 남부순환로 1921-1,서울특별시 관악구 봉천동 1686-13,,월,독립오피스,5,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,20221116
남양주소호사무실 비즈클레버,경기도,남양주시,금곡동,,423-5 번지,금곡로,64 번,37.63426909,127.210182,12237,경기도 남양주시 금곡로 64,경기도 남양주시 금곡동 423-5,,월,독립오피스,1,7:00 ~ 23:00,7:00 ~ 23:00,7:00 ~ 23:00,7:00 ~ 23:00,7:00 ~ 23:00,7:00 ~ 23:00,7:00 ~ 23:00,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,N,20221116
남인천세무서 뒤편 소호개인사무실,인천광역시,남동구,구월동,,1542-1 번지,선수촌공원로23번길,11 번,37.44087563,126.7086512,21582,인천광역시 남동구 선수촌공원로23번길 11,인천광역시 남동구 구월동 1542-1,,월,독립오피스,6,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,Y,N,Y,N,N,20221116
남인천세무서 뒤편 있는 공동사무실,인천광역시,남동구,구월동,,1542-1 번지,선수촌공원로23번길,11 번,37.44087563,126.7086512,21582,인천광역시 남동구 선수촌공원로23번길 11,인천광역시 남동구 구월동 1542-1,,월,독립오피스,1,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,Y,N,Y,N,N,20221116
넥스멘토 공유오피스,경기도,성남시 수정구,태평동,,6795 번지,성남대로,1275-1 번,37.44380393,127.1266629,13110,경기도 성남시 수정구 성남대로 1275-1,경기도 성남시 수정구 태평동 6795,,월,독립오피스,30,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,20221116
넥스트데이 서초 공유오피스 4인실,서울특별시,서초구,서초동,,1575-1 번지,반포대로28길,94 번,37.49194124,127.0133492,06644,서울특별시 서초구 반포대로28길 94,서울특별시 서초구 서초동 1575-1,,월,독립오피스,4,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,N,20221116
넥스트데이 서초 공유오피스 5인실,서울특별시,서초구,서초동,,1575-1 번지,반포대로28길,94 번,37.49194124,127.0133492,06644,서울특별시 서초구 반포대로28길 94,서울특별시 서초구 서초동 1575-1,,월,독립오피스,5,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,20221116
넥스트데이 서초 공유오피스 6인실,서울특별시,서초구,서초동,,1575-1 번지,반포대로28길,94 번,37.49194124,127.0133492,06644,서울특별시 서초구 반포대로28길 94,서울특별시 서초구 서초동 1575-1,,월,독립오피스,6,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,20221116
넥스트데이 서초 공유오피스 7인실,서울특별시,서초구,서초동,,1575-1 번지,반포대로28길,94 번,37.49194124,127.0133492,06644,서울특별시 서초구 반포대로28길 94,서울특별시 서초구 서초동 1575-1,,월,독립오피스,7,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,N,20221116
넥스트데이 서초 공유오피스 8인실,서울특별시,서초구,서초동,,1575-1 번지,반포대로28길,94 번,37.49194124,127.0133492,06644,서울특별시 서초구 반포대로28길 94,서울특별시 서초구 서초동 1575-1,,월,독립오피스,8,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,20221116
넥스트데이 서초 공유오피스12인실,서울특별시,서초구,서초동,,1575-1 번지,반포대로28길,94 번,37.49194124,127.0133492,06644,서울특별시 서초구 반포대로28길 94,서울특별시 서초구 서초동 1575-1,,월,독립오피스,12,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,20221116
넥스트데이 서초2호점 1인실,서울특별시,서초구,서초동,,1575-1 번지,반포대로28길,94 번,37.49194124,127.0133492,06644,서울특별시 서초구 반포대로28길 94,서울특별시 서초구 서초동 1575-1,,월,독립오피스,1,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,20221116
넥스트데이 서초2호점 2인실,서울특별시,서초구,서초동,,1575-1 번지,반포대로28길,94 번,37.49194124,127.0133492,06644,서울특별시 서초구 반포대로28길 94,서울특별시 서초구 서초동 1575-1,,월,독립오피스,3,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,20221116
넥스트데이 서초2호점 3인실,서울특별시,서초구,서초동,,1575-1 번지,반포대로28길,94 번,37.49194124,127.0133492,06644,서울특별시 서초구 반포대로28길 94,서울특별시 서초구 서초동 1575-1,,월,독립오피스,3,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,20221116
넥스트데이 서초2호점 사무좌석,서울특별시,서초구,서초동,,1575-1 번지,반포대로28길,94 번,37.49194124,127.0133492,06644,서울특별시 서초구 반포대로28길 94,서울특별시 서초구 서초동 1575-1,,월,독립오피스,1,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,20221116
노블소호비즈 1인실 - 가성비 갑,경기도,고양시 일산동구,장항동,,756-2 번지,호수로,646-24 번,37.65970915,126.7678228,10401,경기도 고양시 일산동구 호수로 646-24,경기도 고양시 일산동구 장항동 756-2,,월,독립오피스,1,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,20221116
노블소호비즈 1인실 - 사이즈 大,경기도,고양시 일산동구,장항동,,756-2 번지,호수로,646-24 번,37.65970915,126.7678228,10401,경기도 고양시 일산동구 호수로 646-24,경기도 고양시 일산동구 장항동 756-2,,월,독립오피스,2,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,20221116
노블소호비즈 2인실 - 가성비 갑,경기도,고양시 일산동구,장항동,,756-2 번지,호수로,646-24 번,37.65970915,126.7678228,10401,경기도 고양시 일산동구 호수로 646-24,경기도 고양시 일산동구 장항동 756-2,,월,독립오피스,2,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,20221116
